Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Yabba Dabba Don't","Yabba Dabba Don't Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106066269/yabba-dabba-dont,2.9,-1,Boulder,V3,1,15,34.0202,-116.165
"Hobbit Hole Offwidth","Hobbit Hole Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106072721/hobbit-hole-offwidth,3.0,-1,Boulder,V0,1,12,34.0229,-116.16414
Patina,"Hobbit Hole Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107996068/patina,2.2,-1,Boulder,V1,1,12,34.0229,-116.16414
"Scorpion Traverse","Scorpion Roof > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106111471/scorpion-traverse,3.1,-1,Boulder,"V4 R",1,20,34.1,-116.6
"Tilt-o-Meter Center","Tilt-o-Meter Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106332333/tilt-o-meter-center,1.9,-1,Boulder,V1,1,8,34.02044,-116.16555
"Tilt-O-Meter Left","Tilt-o-Meter Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106332339/tilt-o-meter-left,2.0,-1,Boulder,V1,1,10,34.02044,-116.16555
"Tilt-o-Meter Right","Tilt-o-Meter Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106332346/tilt-o-meter-right,2.3,-1,Boulder,V1+,1,15,34.02044,-116.16555
Bulgemaster,"Tilt-o-Meter Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106332352/bulgemaster,2.5,-1,Boulder,V2,1,10,34.02044,-116.16555
"Cole Dihedral","Cole Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106130523/cole-dihedral,2.1,-1,Boulder,V0+,1,21,34.0202,-116.165
"Poorman's Sidewinder","Dike Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/112453931/poormans-sidewinder,2.0,-1,Boulder,V2,1,15,34.0202,-116.165
"Gripped and Grunged","Dike Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/112453936/gripped-and-grunged,3.0,-1,Boulder,V4,1,15,34.0202,-116.165
Gizmodo,"Gizmo Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106292631/gizmodo,2.0,-1,Boulder,V1+,1,12,34.0202,-116.165
